,lp,DA,system,BEER,BERTr,CharacTER,EED,ESIM,LASIM,LEPORa,LP,Meteor++_2.0(syntax),Meteor++_2.0(syntax+copy),PReP,UNI,UNI+,USFD,USFD-TL,YiSi-0,YiSi-1,YiSi-1_srl,YiSi-2,YiSi-2_srl,ibm1-morpheme,ibm1-pos4gram,segid,testset,NIST,BLEU,chrF,sacreBLEU-BLEU,TER,CDER,sacreBLEU-chrF,WER,chrF+,PER,LEPORb,WMDO
0,en-cs,0.402,CUNI-DocTransformer-T2T.6751,0.5875458500499265,,-0.4730122993665789,-0.3588703835647018,,,,,,,,0.4515094392889334,,,,0.6472814601902855,0.8650659974962444,,0.7649960245368052,,-538834.399788385,,5622.518277416124,newstest2019,5.1045,0.1904,57.5673,0.3103,0.4697,0.5042,56.1449,0.4427,57.7576,0.6061,,
1,en-cs,0.401,CUNI-Transformer-T2T-2018.6457,0.5869319492864045,,-0.47216426832923775,-0.360133816813607,,,,,,,,0.4516067089384076,,,,0.6470191517275914,0.8653208632949424,,0.7632422018027041,,-527818.114976685,,5622.518277416124,newstest2019,5.2036,0.1968,57.4147,0.3093,0.4714,0.5042,56.183,0.4452,57.5857,0.6037,,
2,en-cs,0.38799999999999996,CUNI-Transformer-T2T-2019.6851,0.5797337494800615,,-0.4843966970358974,-0.36819170458633105,,,,,,,,0.44920909335503256,,,,0.6393290569854782,0.8609571347020532,,0.7634015698547822,,-536831.4758699068,,5622.518277416124,newstest2019,5.0849,0.1892,56.3307,0.3042,0.4647,0.4977,55.3537,0.4386,56.5415,0.5971,,
3,en-cs,0.223,CUNI-DocTransformer-Marian.6922,0.5740241493852534,,-0.49066232502216856,-0.372732833390202,,,,,,,,0.44940182567751624,,,,0.6330458341011517,0.8583276985478218,,0.7619520195292939,,-522309.6220322388,,5622.518277416124,newstest2019,4.861,0.1769,55.8463,0.2917,0.4513,0.4877,54.5194,0.4243,55.9912,0.5878,,
4,en-cs,0.20600000000000002,uedin.6667,0.5766761675232603,,-0.4861189769441604,-0.37077318217908956,,,,,,,,0.4504133505758638,,,,0.6352410976464697,0.8611776980470706,,0.7633263970956434,,-542339.7818081067,,5622.518277416124,newstest2019,5.1417,0.1916,56.0571,0.29,0.4589,0.4895,55.0079,0.4323,56.1944,0.5877,,
5,en-cs,-0.156,online-Y.0,0.5495625915746569,,-0.5251338810841809,-0.3978808238359917,,,,,,,,0.4498201118027041,,,,0.6106513345017526,0.8482011652478718,,0.7703301321982974,,-500276.1526443355,,5622.518277416124,newstest2019,4.9027,0.1766,52.5263,0.2419,0.4111,0.442,51.7642,0.3849,52.5183,0.5474,,
6,en-cs,-0.195,TartuNLP-c.6633,0.5419255881261043,,-0.5298247563636902,-0.4046212435426246,,,,,,,,0.4551284453980971,,,,0.6019062478718077,0.8451373099649474,,0.7651978347521283,,-487757.22139273956,,5622.518277416124,newstest2019,4.5523,0.1581,51.2223,0.2398,0.3988,0.4393,50.9746,0.3736,51.3854,0.543,,
7,en-cs,-0.3,online-G.0,0.5364650760815701,,-0.5448983524557339,-0.4132073914863516,,,,,,,,0.45364814584877317,,,,0.5966733004506759,0.8390073199799699,,0.7719724561842765,,-492263.67206198955,,5622.518277416124,newstest2019,4.4931,0.1543,49.9492,0.2094,0.3681,0.4006,48.7988,0.3451,49.9858,0.5032,,
8,en-cs,-0.336,online-B.0,0.5385725277262501,,-0.5455612698852033,-0.41253568290541126,,,,,,,,0.4540674714827241,,,,0.5965055312969453,0.8418054166249372,,0.7688493930896344,,-497771.7522239325,,5622.518277416124,newstest2019,4.8643,0.1775,50.5443,0.225,0.3883,0.4232,50.0956,0.3631,50.6535,0.5268,,
9,en-cs,-0.594,online-A.0,0.513497674340823,,-0.5776134280090411,-0.4378657152351136,,,,,,,,0.44666635862043064,,,,0.5695486954932398,0.8274442493740611,,0.7561821707561341,,-502779.2581090311,,5622.518277416124,newstest2019,4.3666,0.1466,47.0265,0.1883,0.3447,0.3824,46.6877,0.3223,47.1066,0.4865,,
